user_id,books_rated
1,117
2,65
3,91
4,134
5,100
6,90
7,155
8,98
9,132
10,128
11,120
12,113
13,96
14,108
15,97
16,68
17,61
18,109
19,119
20,90
21,61
22,120
23,127
24,128
25,60
26,103
27,121
28,120
29,98
30,92
31,121
32,123
33,99
34,101
35,176
36,136
37,81
38,61
39,91
40,129
41,149
42,54
43,103
44,129
45,45
46,119
47,133
48,80
49,133
50,106
51,116
52,114
53,49
54,121
55,127
56,95
57,113
58,82
59,66
60,122
61,139
62,110
63,70
64,89
65,109
66,70
67,104
68,51
69,91
70,63
71,98
72,109
73,105
74,62
75,163
76,109
77,64
78,74
79,123
80,64
81,100
82,133
83,95
84,86
85,114
86,70
87,114
88,128
89,149
90,107
91,62
92,101
93,119
94,57
95,132
96,119
97,103
98,96
99,86
100,80
101,114
102,76
103,107
104,123
105,127
106,71
107,123
108,104
109,132
110,68
111,128
112,103
113,105
114,67
115,85
116,134
117,56
118,113
119,137
120,77
121,113
122,91
123,106
124,128
125,109
126,102
127,106
128,106
129,98
130,120
131,70
132,96
133,131
134,92
135,114
136,94
137,113
138,101
139,96
140,131
141,96
142,110
143,159
144,92
145,157
146,144
147,80
148,134
149,109
150,94
151,96
152,98
153,149
154,102
155,65
156,96
157,85
158,148
159,70
160,81
161,93
162,79
163,116
164,136
165,104
166,108
167,107
168,95
169,110
170,115
171,85
172,102
173,176
174,116
175,102
176,68
177,100
178,173
179,138
180,111
181,107
182,106
183,110
184,97
185,103
186,116
187,97
188,113
189,89
190,89
191,91
192,111
193,125
194,119
195,126
196,113
197,57
198,80
199,109
200,105
201,90
202,164
203,120
204,124
205,104
206,118
207,145
208,122
209,147
210,71
211,102
212,98
213,138
214,82
215,159
216,92
217,130
218,140
219,121
220,134
221,109
222,119
223,117
224,123
225,78
226,131
227,84
228,127
229,126
230,163
231,97
232,132
233,143
234,112
235,106
236,101
237,121
238,55
239,112
240,85
241,96
242,123
243,114
244,151
245,106
246,128
247,158
248,152
249,103
250,104
251,141
252,127
253,122
254,114
255,94
256,161
257,95
258,115
259,105
260,45
261,105
262,123
263,126
264,95
265,102
266,111
267,111
268,122
269,104
270,102
271,93
272,134
273,81
274,176
275,125
276,129
277,121
278,106
279,118
280,130
281,98
282,150
283,112
284,141
285,98
286,110
287,100
288,101
289,134
290,137
291,127
292,93
293,97
294,124
295,112
296,104
297,84
298,104
299,83
300,68
301,104
302,53
303,122
304,62
305,90
306,143
307,153
308,86
309,102
310,130
311,128
312,90
313,97
314,183
315,125
316,69
317,97
318,91
319,158
320,131
321,159
322,107
323,135
324,151
325,132
326,107
327,101
328,101
329,136
